,SN,ON_HOURS,NUM_OF_POWER_ONS,EXPECTED_MOTOR_ROTATIONS,SUPPOSED_MOTOR_ROTATIONS,ACTIVE_MILLING_HOURS,DAYS OFFLINE,DAYS SINCE VISIT,CATEGORY
12545,19060551,5.46,1.0,993.0,997.0,3.65,36.0,72.0,Nontechnical
12546,19060415,9.68,1.0,1.0,1.0,0.04,31.0,31.0,Nontechnical
12547,19060491,2.51,1.0,571.0,572.0,2.44,263.0,88.0,Nontechnical
12548,18040304,1.53,1.0,99.0,263.0,1.5,35.0,89.0,Nontechnical
12549,18040301,9.97,1.0,979.0,987.0,1.67,46.0,46.0,Nontechnical
12550,21050716,2.37,1.0,2335.0,2340.0,1.45,83.0,83.0,Nontechnical
12551,19060551,1.92,1.0,844.0,844.0,1.51,45.0,74.0,Nontechnical
12552,21050615,9.98,1.0,0.0,0.0,0.01,75.0,76.0,Nontechnical
12553,21050703,0.26,1.0,27.0,28.0,0.05,83.0,83.0,Nontechnical
12554,19060395,0.24,1.0,50.0,50.0,0.19,31.0,34.0,Technical
12555,19060413,9.8,1.0,1567.0,1570.0,2.31,31.0,34.0,Technical
12556,21050651,9.94,1.0,995.0,995.0,3.33,45.0,47.0,Nontechnical
12557,18040304,8.34,1.0,3602.0,3614.0,4.13,46.0,46.0,Nontechnical
12558,19060571,23.09,1.0,4.0,4.0,0.02,69.0,80.0,Nontechnical
12559,18040177,2.42,1.0,49.0,49.0,0.79,31.0,148.0,Technical
12560,19060554,9.73,1.0,6473.0,6473.0,9.58,220.0,4.0,Technical
12561,19060419,9.28,1.0,965.0,965.0,6.36,33.0,14.0,Technical
12562,18040272,4.41,1.0,946.0,947.0,4.23,118.0,283.0,Technical
12563,21050651,6.42,1.0,970.0,970.0,6.08,43.0,43.0,Technical
12564,21050719,3.39,1.0,36.0,36.0,0.08,79.0,100.0,Nontechnical
12565,21050813,8.07,1.0,955.0,960.0,4.99,33.0,84.0,Technical
12566,21050716,0.29,1.0,532.0,532.0,0.19,83.0,83.0,Nontechnical
12567,19060554,9.97,1.0,978.0,978.0,8.91,220.0,4.0,Technical
12568,18040178,9.94,1.0,0.0,0.0,0.0,177.0,524.0,Nontechnical
12569,19060450,1.65,1.0,99.0,695.0,1.56,263.0,577.0,Nontechnical
12570,21050719,3.57,1.0,1284.0,1287.0,1.68,81.0,81.0,Nontechnical
12571,19060428,3.8,1.0,0.0,0.0,0.01,43.0,65.0,Technical
12572,18040195,9.97,1.0,0.0,0.0,0.01,31.0,40.0,Nontechnical
12573,18040178,9.93,1.0,997.0,997.0,6.57,52.0,194.0,Nontechnical
12574,19060551,7.56,1.0,939.0,939.0,6.42,36.0,72.0,Nontechnical
12575,18040245,1.2,1.0,385.0,385.0,0.28,158.0,206.0,Technical
12576,21050851,5.07,1.0,0.0,0.0,0.0,62.0,423.0,Technical
12577,19060358,6.1,1.0,799.0,799.0,5.41,67.0,68.0,Nontechnical
12578,21050654,4.15,1.0,76.0,76.0,1.36,145.0,343.0,Nontechnical
12579,19060413,0.76,1.0,58.0,59.0,0.54,31.0,31.0,Nontechnical
12580,21110979,2.13,1.0,713.0,769.0,0.99,51.0,11.0,Technical
12581,18040245,9.93,1.0,0.0,0.0,0.0,47.0,544.0,Nontechnical
12582,21050719,5.86,1.0,977.0,977.0,4.9,81.0,81.0,Nontechnical
12583,19060327,1.91,1.0,500.0,500.0,1.55,59.0,24.0,Nontechnical
12584,19060334,3.5,1.0,150.0,161.0,0.25,59.0,24.0,Nontechnical
12585,18040296,1.88,1.0,59.0,60.0,1.57,158.0,206.0,Technical
12586,21050692,3.31,1.0,954.0,954.0,2.98,83.0,83.0,Nontechnical
12587,21050697,2.83,1.0,284.0,293.0,1.55,83.0,83.0,Nontechnical
12588,21050719,9.44,1.0,4.0,4.0,0.2,52.0,93.0,Nontechnical
12589,21050822,1.72,1.0,7.0,7.0,0.02,70.0,41.0,Technical
12590,21050719,9.93,1.0,961.0,961.0,9.19,81.0,81.0,Nontechnical
12591,17020142,9.94,1.0,0.0,0.0,0.0,177.0,524.0,Nontechnical
12592,21111028,9.96,1.0,973.0,973.0,6.66,68.0,240.0,Technical
12593,19060385,1.53,1.0,80.0,91.0,1.49,58.0,59.0,Technical
12594,19060416,4.82,1.0,727.0,727.0,1.52,31.0,34.0,Technical
12595,21050719,2.04,1.0,959.0,959.0,1.73,81.0,81.0,Nontechnical
12596,19060356,3.51,1.0,966.0,966.0,3.04,67.0,68.0,Nontechnical
12597,17020142,5.83,1.0,11.0,11.0,0.0,177.0,524.0,Nontechnical
12598,18040296,6.96,1.0,968.0,968.0,4.49,158.0,206.0,Technical
12599,21050716,8.39,1.0,996.0,996.0,1.18,83.0,83.0,Nontechnical
12600,18040232,3.34,1.0,65.0,65.0,0.36,52.0,94.0,Nontechnical
12601,19060326,5.95,1.0,999.0,999.0,2.32,97.0,98.0,Nontechnical
12602,19060334,3.03,1.0,398.0,398.0,0.31,59.0,24.0,Nontechnical
12603,19060419,3.31,1.0,1.0,1.0,0.0,31.0,31.0,Nontechnical
12604,18040271,6.59,1.0,84.0,84.0,0.69,31.0,148.0,Technical
12605,19060306,0.0,1.0,0.0,0.0,0.0,150.0,152.0,Technical
12606,21110979,8.53,1.0,18.0,18.0,0.05,51.0,11.0,Technical
12607,18040234,9.37,1.0,0.0,0.0,0.0,91.0,95.0,Nontechnical
12608,21050719,5.92,1.0,980.0,981.0,5.63,124.0,5.0,Technical
12609,21050582,1.36,1.0,984.0,984.0,1.31,51.0,69.0,Technical
12610,19060551,2.68,1.0,90.0,90.0,1.82,42.0,67.0,Nontechnical
12611,21110993,5.71,1.0,7.0,8.0,0.12,62.0,87.0,Technical
